Timestamp|Source|Action|Status|Cluster
2024-12-17 05:47:57 |0|4|1|1
2024-12-17 05:47:57 |2|4|1|1
2024-12-17 05:47:57 |0|3|1|1
2024-12-17 05:47:57 |0|3|0|1
2024-12-17 05:47:57 |1|3|1|1
2024-12-17 05:47:57 |2|4|1|1
2024-12-17 05:47:57 |0|3|1|1
2024-12-17 05:47:57 |0|4|0|1
2024-12-17 05:47:57 |1|3|1|1
2024-12-17 05:47:57 |1|4|1|1
2024-12-17 05:47:57 |1|3|1|1
2024-12-17 05:47:57 |0|3|1|1
2024-12-17 05:47:57 |2|4|1|1
2024-12-17 05:47:57 |1|4|0|1
2024-12-17 05:47:57 |0|4|1|1
2024-12-17 05:47:57 |0|3|1|1
2024-12-17 05:47:57 |1|4|1|1
2024-12-17 05:47:57 |0|3|0|1
2024-12-17 05:47:57 |2|3|0|1
2024-12-17 05:47:57 |2|4|0|1
2024-12-17 05:47:57 |1|4|1|1
2024-12-17 05:47:57 |1|4|0|1
2024-12-17 05:47:57 |1|3|0|1
2024-12-17 05:47:57 |0|4|1|1
2024-12-17 05:47:57 |1|4|0|1
2024-12-17 05:47:57 |0|3|1|1
2024-12-17 05:47:57 |0|3|1|1
2024-12-17 05:47:57 |1|3|1|1
2024-12-17 05:47:57 |1|4|1|1
2024-12-17 05:47:57 |2|4|1|1
2024-12-17 05:47:57 |1|3|0|1
2024-12-17 05:47:57 |0|4|1|1
2024-12-17 05:47:57 |1|4|1|1
2024-12-17 05:47:57 |1|3|1|1
2024-12-17 05:47:57 |0|4|1|1
2024-12-17 05:47:57 |2|3|1|1
2024-12-17 05:47:57 |2|4|1|1
2024-12-17 05:47:57 |1|3|1|1
